Ranking 2022;Año;Ranking 2021;Expediente;Nombre;Tipo;RAMA;CIIU;DETALLE;Region;Provincia;Ciudad;Tamaño;Sector;Cant. Empleados;"Activo
2022";"Patrimonio
2022";"Ingreso por ventas
2022";"Utilidad antes del impuesto
2022";"Utilidad del ejercicio
2022";"Utilidad neta
2022";"IR causado
2022";"Ingreso Total
2022";;
883;2022;1066;106257;FARMADIAL S.A.;ANÓNIMA;G;G4649.22;VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, INCLUSO VETERINARIOS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;302;27129827,21;11799285,59;22490376,65;0;947306,91;1466462,9;0;22490376,65;;
884;2022;851;7401;INMOBILIARIA INVESTA SA;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;1;27127612,21;19537288,32;4851623,86;2314336,98;2722749,39;1660342,66;687709,99;5286536,34;;
885;2022;931;712518;AGRICOLA JARAMILLO JARAGRI S.A.;ANÓNIMA;A;A0122.01;CULTIVO DE BANANOS Y PLÁTANOS.;COSTA;LOS RIOS                                          ;QUEVEDO                                           ;GRANDE;SOCIETARIO;223;27112778,73;816306,41;8430112,98;264488,49;311162,93;175549,43;88939;8430112,98;;
886;2022;914;31332;GENEROS ECUATORIANOS, ECUAGENERA CIA. LTDA.;RESPONSABILIDAD LIMITADA;G;G4620.15;VENTA AL POR MAYOR DE FLORES Y PLANTAS.;SIERRA;AZUAY                                             ;GUALACEO                                          ;GRANDE;SOCIETARIO;198;27107152,51;21675365,39;16376219,6;7592318,5;9074239,52;7290311,23;302007,27;16518319,71;;
887;2022;876;34525;MANACRIPEX CIA. LTDA. MANABITA DE CRIA , PESCA Y EXPORTACION;RESPONSABILIDAD LIMITADA;A;A0311.03;ACTIVIDADES DE BUQUES DEDICADOS TANTO A LA PESCA MARINA COMO A LA PREPARACIÓN Y CONSERVACIÓN DE PESCADO.;COSTA;MANABI                                            ;JARAMIJÓ                                          ;GRANDE;SOCIETARIO;90;27054464,33;18832063,96;6396218,51;81847,13;106265,66;-5116,42;266068,61;6406193,43;;
888;2022;810;20416;IVAN BOHMAN C.A.;ANÓNIMA;G;G4653.01;VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO AGROPECUARIOS: ARADOS, ESPARCIDORAS DE ESTIÉRCOL, SEMBRADORAS, COSECHADORAS, TRILLADORAS, MÁQUINAS DE ORDEÑAR, MÁQUINAS UTILIZADAS EN LA AVICULTURA Y LA APICULTURA, TRACTORES UTILIZADOS EN ACTIVIDADES AGROPECUARIAS Y SILVÍCOLAS, SEGADORAS DE CÉSPED DE TODO TIPO, ETCÉTERA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;171;27012372,04;5945287,18;36017892,99;0;-826398,42;-826398,42;0;36521434,95;;
889;2022;1454;146016;NOVACREDIT S. A.;ANÓNIMA;M;M7490.29;OTROS TIPOS DE CONSULTORÍA TÉCNICA.;SIERRA;AZUAY                                             ;CUENCA                                            ;GRANDE;MERCADO DE VALORES;62;26925055,77;4402684,85;6037557,64;1315073,11;2282204,89;974792,25;240257,21;6242982,2;;
890;2022;1117;160627;MACROMODA S.A.;ANÓNIMA;G;G4641.31;VENTA AL POR MAYOR DE CALZADO.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;249;26915036,01;4621988,4;38802700,53;0;1959946,97;1203446,96;518085,68;39651807,31;;
891;2022;1011;11069;COHECO S.A.;ANÓNIMA;G;G4663.13;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN: PIEDRA, ARENA, GRAVA, CEMENTO, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;565;26899610,01;5780711,72;27688503,9;2350958,83;2765833,92;1770033,18;580925,65;27688503,9;;
892;2022;1265;107482;DESINVEST S.A.;ANÓNIMA;M;M6920.01;ACTIVIDADES DE REGISTRO DE LAS TRANSACCIONES COMERCIALES DE EMPRESAS Y OTRAS ENTIDADES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;3;26897250,49;26737371,62;9185930,3;17910786,62;8955393,31;8955393,31;0;9185930,3;;
893;2022;879;157307;TATASOLUTION CENTER S.A.;ANÓNIMA;J;J6202.20;SERVICIOS DE GESTIÓN Y MANEJO IN SITU DE SISTEMAS INFORMÁTICOS Y/O INSTALACIONES DE PROCESAMIENTO DE DATOS DE LOS CLIENTES, Y SERVICIOS DE APOYO CONEXOS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;1542;26878885,02;12582917,38;57206229,58;8596720,59;9595906,49;5295011,31;2149180,15;57508913,19;;
894;2022;874;47368;B.BRAUN MEDICAL S.A.;ANÓNIMA;G;G4649.24;VENTA AL POR MAYOR DE INSTRUMENTOS, MATERIALES MÉDICOS Y QUIRÚRGICOS, DENTALES Y ARTÍCULOS ORTOPÉDICOS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;115;26859296,69;21454291,28;23407081,24;371240,34;436753,34;186676,15;172153,68;23550893,51;;
895;2022;2391;731054;SOLETANCHE BACHY INTERNATIONAL;SUCURSAL  EXTRANJERA;F;F4100.20;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS NO RESIDENCIALES: EDIFICIOS DE PRODUCCIÓN INDUSTRIAL, EJ. FÁBRICAS, TALLERES, PLANTAS DE ENSAMBLAJE, HOSPITALES, ESCUELAS, EDIFICIOS DE OFICINAS, HOTELES, ALMACENES, CENTROS COMERCIALES, BODEGAS, RESTAURANTES, OBSERVATORIOS, IGLESIAS, MUSEOS, AEROPORTUARIOS, PORTUARIOS Y EDIFICIOS DE ESTACIONES DE BUSES, TROLEBUSES, TREN, INCLUSO ESTACIONAMIENTOS SUBTERRÁNEOS, DE INSTALACIONES DEPORTIVAS INTERIORES TECHADAS ETCÉTERA. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;COSTA;EL ORO                                            ;MACHALA                                           ;GRANDE;SOCIETARIO;6;26826717,1;4225,67;43876584,47;-2097,09;-2097,09;-5309,2;3212,11;43876584,47;;
896;2022;819;133221;AEROPUERTOS ECOLOGICOS DE GALAPAGOS S. A. ECOGAL;ANÓNIMA;H;H5223.01;ACTIVIDADES RELACIONADAS CON EL TRANSPORTE AÉREO DE PASAJEROS, ANIMALES O CARGA: EXPLOTACIÓN DE INSTALACIONES TERMINALES, COMO TERMINALES AÉREAS, ETC. ACTIVIDADES AEROPORTUARIAS Y DE CONTROL DE TRÁFICO AÉREO. ACTIVIDADES DE SERVICIO EN TIERRA REALIZADAS EN AEROPUERTOS, ETCÉTERA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;87;26797582,7;1034852,64;10907882,76;103521,88;121790,45;5300,13;111699,14;11209997,35;;
897;2022;1130;714985;CHASKIROUTE CIA.LTDA.;RESPONSABILIDAD LIMITADA;N;N7911.00;ACTIVIDADES DE LAS AGENCIAS DE VIAJES DEDICADAS PRINCIPALMENTE A VENDER SERVICIOS DE VIAJES, DE VIAJES ORGANIZADOS, DE TRANSPORTE Y DE ALOJAMIENTO, AL POR MAYOR O AL POR MENOR, AL PÚBLICO EN GENERAL Y A CLIENTES COMERCIALES.;SIERRA;PICHINCHA                                         ;QUITO                                             ;MICROEMPRESA;SOCIETARIO;2;26706991,25;1254946,51;2657,42;-124891,85;-124891,85;-124891,85;0;10369,07;;
898;2022;1036;60000;SANCAMILO S.A., COMERCIALIZADORA DE GRANOS;ANÓNIMA;G;G4620.11;VENTA AL POR MAYOR DE CEREALES (GRANOS) Y SEMILLAS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;20;26703913,96;1242923,82;40439636,6;233115,76;274258,92;109211,46;125629,69;40439636,6;;
899;2022;1245;168687;MAFER-REAL ESTATE DEL ECUADOR S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;1;26683262,99;16027545,56;1260496,96;499218,27;470254,2;374898,54;126781,48;1571987,56;;
900;2022;850;128659;CORPEVIN S.A.;ANÓNIMA;K;K6420.00;ACTIVIDADES DE SOCIEDADES DE CARTERA, ES DECIR, UNIDADES TENEDORAS DE ACTIVOS DE UN GRUPO DE EMPRESAS FILIALES (CON PARTICIPACIÓN DE CONTROL EN SU CAPITAL SOCIAL) Y CUYA ACTIVIDAD PRINCIPAL CONSISTE EN LA PROPIEDAD DEL GRUPO. LAS SOCIEDADES DE CARTERA CLASIFICADAS EN ESTA CLASE NO SUMINISTRAN NINGÚN OTRO SERVICIO A LAS EMPRESAS PARTICIPADAS, ES DECIR, NO ADMINISTRAN NI GESTIONAN OTRAS UNIDADES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;PEQUEÑA;SOCIETARIO;4;26622127,01;26498050,76;134432,59;0;163742,4;67796,4;0;163742,4;;
901;2022;1019;113104;AGZULASA CIA. LTDA.;RESPONSABILIDAD LIMITADA;A;A0122.01;CULTIVO DE BANANOS Y PLÁTANOS.;COSTA;GUAYAS                                            ;SAMBORONDÓN                                       ;GRANDE;SOCIETARIO;487;26620143,34;3305356,88;121038580,6;1970819,44;2318611,11;703278,39;1267541,05;121059307,6;;
902;2022;457;93391;HUAWEI TECHNOLOGIES CO. LTD.;SUCURSAL  EXTRANJERA;G;G4652.02;VENTA AL POR MAYOR DE TELÉFONOS Y EQUIPOS DE COMUNICACIÓN.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;14;26558894,15;13660017,79;17518181,37;468771,63;551496,4;633064,63;0;17518485,17;;
903;2022;355;137036;OLAM ECUADOR S.A.;ANÓNIMA;A;A0150.00;EXPLOTACIÓN MIXTA DE CULTIVOS Y ANIMALES SIN ESPECIALIZACIÓN EN NINGUNA DE LAS ACTIVIDADES. EL TAMAÑO DEL CONJUNTO DE LA EXPLOTACIÓN AGRÍCOLA NO ES UN FACTOR DETERMINANTE. SI EL CULTIVO DE PRODUCTOS AGRÍCOLAS O LA CRÍA DE ANIMALES REPRESENTAN EN UNA UNIDAD DETERMINADA UNA PROPORCIÓN IGUAL O SUPERIOR AL 66% DE LOS MÁRGENES BRUTOS CORRIENTES, LA ACTIVIDAD MIXTA NO DEBE CLASIFICARSE EN ESTA CLASE, SINO ENTRE LOS CULTIVOS O LAS ACTIVIDADES DE CRÍA DE ANIMALES.;COSTA;GUAYAS                                            ;ELOY ALFARO (DURAN)                               ;GRANDE;SOCIETARIO;198;26551559,6;3741153,22;104183863,1;0;2009933,85;1221986,97;460403,31;104231588,5;;
904;2022;0;742710;PROMORANCHO S.A.S.;SOCIEDAD POR ACCIONES SIMPLIFICADA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;SAMBORONDÓN                                       ;MICROEMPRESA;SOCIETARIO;3;26537404,23;1000;0;0;0;0;0;0;;
905;2022;1088;735461;BOARDWALK LOGISTIC CORP. S.A.S.;SOCIEDAD POR ACCIONES SIMPLIFICADA;H;H5229.02;"ACTIVIDADES LOGÍSTICAS: PLANIFICACIÓN, DISEÑO Y APOYO DE OPERACIONES DE TRANSPORTE, ALMACENAMIENTO Y DISTRIBUCIÓN; CONTRATACIÓN DE ESPACIO EN BUQUES Y AERONAVES, ORGANIZACIÓN DE ENVÍOS DE GRUPO E INDIVIDUALES (INCLUIDAS LA RECOGIDA Y ENTREGA DE MERCANCÍAS Y LA AGRUPACIÓN DE ENVÍOS); MANIPULACIÓN DE MERCANCÍAS, COMO: EL EMBALAJE TEMPORAL CON LA EXCLUSIVA FINALIDAD DE PROTEGER LAS MERCANCÍAS DURANTE EL TRÁNSITO, DESEMBALAJE, MUESTREO Y PESAJE DE LA CARGA.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MICROEMPRESA;SOCIETARIO;4;26519259,3;26067945;0;0;0;0;0;0;;
906;2022;962;142375;PLANTA INDUSTRIAL LACEC CIA. LTDA.;RESPONSABILIDAD LIMITADA;C;C2011.11;FABRICACIÓN DE GASES INDUSTRIALES O MÉDICOS INORGÁNICOS, LICUADOS O COMPRIMIDOS: GASES ELEMENTALES, AIRE LÍQUIDO O COMPRIMIDO (OXIGENO), GASES REFRIGERANTES, MEZCLAS DE GASES INDUSTRIALES (GASES CARBÓNICOS), GASES INERTES COMO EL DIÓXIDO DE CARBONO (ANHÍDRIDO CARBÓNICO), GASES AISLANTES.;SIERRA;PICHINCHA                                         ;ASCAZUBI                                          ;GRANDE;SOCIETARIO;83;26474436,3;11965011,58;19883386,15;2495029,17;2944913,23;2279227,19;215801,98;19892970,95;;
907;2022;905;47603;AMAZONASHOT (HOTELERIA, ORGANIZACIONES Y TURISMO) S.A.;ANÓNIMA;I;I5510.01;SERVICIOS DE ALOJAMIENTO PRESTADOS POR HOTELES, HOTELES DE SUITES, APART HOTELES, COMPLEJOS TURÍSTICOS, HOSTERÍAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;237;26464748,22;21611714,46;12243920,12;1798361,12;2115718,96;1322637,41;0;12464304,68;;
908;2022;1091;146923;PRODUCTORES DE CAMARON DE EL ORO PCO CIA. LTDA.;RESPONSABILIDAD LIMITADA;G;G4773.22;VENTA AL POR MENOR DE FERTILIZANTES, BALANCEADOS Y ABONOS EN ESTABLECIMIENTOS ESPECIALIZADOS.;COSTA;EL ORO                                            ;MACHALA                                           ;GRANDE;SOCIETARIO;68;26428894,9;14375963,67;38660862;1838856,51;2163360,6;1377980,3;460876,21;39323907,34;;
909;2022;806;164663;DURALUM S.A.;ANÓNIMA;C;C3312.16;SERVICIOS DE REPARACIÓN Y MANTENIMIENTO DE HORNOS PARA PROCESOS INDUSTRIALES, MAQUINARIA METALÚRGICA, HERRAMIENTAS Y ACCESORIOS PARA CORTAR Y CONFORMAR METALES A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.;COSTA;GUAYAS                                            ;ELOY ALFARO (DURAN)                               ;GRANDE;SOCIETARIO;64;26394375,79;2029732,14;60982362,64;1368926,12;1610501,32;1342490;0;60982362,64;;
910;2022;1529;70929;GOLFI S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;14;26269941,76;15487957,98;2661973,13;82122,36;305915,43;77530,16;4592,2;2718205,63;;
911;2022;790;30453;FIBROACERO S.A.;ANÓNIMA;G;G4540.01;VENTA DE MOTOCICLETAS, INCLUSO CICLOMOTORES (VELOMOTORES), TRICIMOTOS.;SIERRA;AZUAY                                             ;CUENCA                                            ;GRANDE;SOCIETARIO;409;26249448,74;8532151,36;29101003,39;-3276688,63;-3276688,63;-2677188,24;0;29104132,03;;
912;2022;906;97223;SOCIEDAD MINERA LIGA DE ORO S.A. SOMILOR;ANÓNIMA;B;B0729.02;EXTRACCIÓN DE METALES PRECIOSOS: ORO, PLATA, PLATINO.;COSTA;EL ORO                                            ;MACHALA                                           ;GRANDE;SOCIETARIO;623;26245635,12;17774228,54;31901805,76;8209858,52;9861161,13;5762865,2;2052464,63;31991770,62;;
913;2022;776;304601;INSTITUTO DE CIENCIAS CRITICAS MANABI ICCMANABI S.A.;ANÓNIMA;Q;Q8610.04;ACTIVIDADES A CORTO Y A LARGO PLAZO DE CLÍNICAS ESPECIALIZADAS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (CLÍNICAS PARA ENFERMOS MENTALES, DE REHABILITACIÓN, PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, ETCÉTERA).;COSTA;MANABI                                            ;PORTOVIEJO                                        ;GRANDE;SOCIETARIO;126;26228053,64;5484862,65;7064608,57;166232,33;195567,45;166232,33;0;7064608,57;;
914;2022;859;122657;DESARROLLO DE VIVIENDAS SOCIALES S.A. DEVISO;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;4;26221300,06;1468899,19;4695328,68;0;-1970632,16;-1979826,01;9193,85;4811197,94;;
915;2022;1082;157779;ORCEVAL DISTRIBUCIONES CIA. LTDA.;RESPONSABILIDAD LIMITADA;G;G4649.22;VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, INCLUSO VETERINARIOS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;6;26183543,56;3602067,87;2041363,95;0;-62420,93;-62420,93;23156,35;2041363,95;;
916;2022;884;736323;BIFIANBERO S.A.S.;SOCIEDAD POR ACCIONES SIMPLIFICADA;K;K6420.00;ACTIVIDADES DE SOCIEDADES DE CARTERA, ES DECIR, UNIDADES TENEDORAS DE ACTIVOS DE UN GRUPO DE EMPRESAS FILIALES (CON PARTICIPACIÓN DE CONTROL EN SU CAPITAL SOCIAL) Y CUYA ACTIVIDAD PRINCIPAL CONSISTE EN LA PROPIEDAD DEL GRUPO. LAS SOCIEDADES DE CARTERA CLASIFICADAS EN ESTA CLASE NO SUMINISTRAN NINGÚN OTRO SERVICIO A LAS EMPRESAS PARTICIPADAS, ES DECIR, NO ADMINISTRAN NI GESTIONAN OTRAS UNIDADES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MICROEMPRESA;SOCIETARIO;4;26125754,69;26036346,21;0;-1547,75;-1547,75;-1547,75;0;34,19;;
917;2022;1254;92403;DSM NUTRITIONAL PRODUCTS ECUADOR S.A.;ANÓNIMA;C;C1080.02;FABRICACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES DE GRANJA (AVES, GANADO VACUNO, PORCINO, ETCÉTERA), ANIMALES ACUÁTICOS, INCLUIDOS ALIMENTOS CONCENTRADOS, SUPLEMENTOS ALIMENTICIOS, LA PREPARACIÓN DE ALIMENTOS SIN MEZCLAR (ELABORADOS A PARTIR DE UN ÚNICO PRODUCTO) Y LOS OBTENIDOS DEL TRATAMIENTO DE DESPERDICIOS DE MATADEROS.;SIERRA;PICHINCHA                                         ;SANGOLQUÍ                                         ;GRANDE;SOCIETARIO;26;26104702,88;6988977,38;32840203,33;830931,04;977565,93;590373,21;249884,3;32840203,33;;
918;2022;923;152383;HIDROVICTORIA S.A.;ANÓNIMA;D;D3510.03;ACTIVIDADES DE AGENTES DE ENERGÍA ELÉCTRICA QUE ORGANIZA LA VENTA DE ELECTRICIDAD VÍA SISTEMAS DE DISTRIBUCIÓN DE ENERGÍA OPERADOS POR OTROS. GESTIÓN DE INTERCAMBIADORES ELÉCTRICOS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;MEDIANA;SOCIETARIO;15;26069943,71;668467,32;2662004,59;308006,43;362441,39;243539,76;64466,67;2663153,99;;
919;2022;625;302427;PROMOTORA Y PROYECTOS URBAN-PROJECTS S.A.;ANÓNIMA;F;F4100.20;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS NO RESIDENCIALES: EDIFICIOS DE PRODUCCIÓN INDUSTRIAL, EJ. FÁBRICAS, TALLERES, PLANTAS DE ENSAMBLAJE, HOSPITALES, ESCUELAS, EDIFICIOS DE OFICINAS, HOTELES, ALMACENES, CENTROS COMERCIALES, BODEGAS, RESTAURANTES, OBSERVATORIOS, IGLESIAS, MUSEOS, AEROPORTUARIOS, PORTUARIOS Y EDIFICIOS DE ESTACIONES DE BUSES, TROLEBUSES, TREN, INCLUSO ESTACIONAMIENTOS SUBTERRÁNEOS, DE INSTALACIONES DEPORTIVAS INTERIORES TECHADAS ETCÉTERA. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;1;26055265,4;267417,48;8308331,48;100113,92;100113,92;-264,63;0;8308331,48;;
920;2022;961;63801;MIDAJA S. A.;ANÓNIMA;A;A0122.01;CULTIVO DE BANANOS Y PLÁTANOS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;367;26053855,49;7518743,03;10808131,2;-227316,98;-227316,98;-355832,86;128515,88;10808131,2;;
921;2022;973;44037;COMPANIA NACIONAL DE PLASTICOS CONAPLAS S. A.;ANÓNIMA;C;C2220.11;"FABRICACIÓN DE SEMIMANUFACTURAS (SEMIELABORADAS) DE PRODUCTOS DE PLÁSTICO: PLANCHAS, LÁMINAS, PELÍCULAS, HOJAS, TIRAS, ETCÉTERA (AUTOADHESIVAS O NO); LÁMINAS DE ACRÍLICOS, ESPONJA, ESPÚMAFLEX, PELÍCULA O LÁMINA DE CELOFÁN, ETCÉTERA.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;85;26046809,79;12168720,17;12523613,96;-213283,07;-213283,07;-272427,77;76284,11;12574649,17;;
922;2022;853;138915;INMOBILIARIA PERICONSTRUCT S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MEDIANA;SOCIETARIO;2;25994459,94;1040243,71;4332811,25;119082,15;139877,34;24696,01;94386,14;4334054,02;;
923;2022;1234;35651;SOCIEDAD INMOBILIARIA MARINA INMOBILIARIAMARINA S.A.;ANÓNIMA;G;G4663.13;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN: PIEDRA, ARENA, GRAVA, CEMENTO, ETCÉTERA.;COSTA;MANABI                                            ;MANTA                                             ;MEDIANA;SOCIETARIO;2;25936942,79;7670476,22;3704627,17;6696,58;6696,58;-5182,97;11879,55;3704627,17;;
924;2022;1061;108369;NAPORTEC S.A.;ANÓNIMA;H;H5222.00;ACTIVIDADES RELACIONADAS CON EL TRANSPORTE ACUÁTICO DE PASAJEROS, ANIMALES O CARGA: EXPLOTACIÓN DE INSTALACIONES TERMINALES, COMO PUERTOS Y MALECONES, EXPLOTACIÓN DE EXCLUSAS DE VÍAS DE NAVEGACIÓN INTERIORES, ETCÉTERA, ACTIVIDADES DE NAVEGACIÓN, PRACTICAJE Y ATRACADA, ACTIVIDADES DE GABARRAJE Y SALVAMENTO, INCLUYE ACTIVIDADES DE FAROS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;387;25911832,8;13687316,9;44070890,94;1733412,45;2532276,91;982309,54;828236,25;44204856,11;;
925;2022;866;44311;DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.;ANÓNIMA;C;C2021.01;FABRICACIÓN DE INSECTICIDAS, RATICIDAS, FUNGICIDAS, HERBICIDAS, ANTIGERMINANTES, REGULADORES DEL CRECIMIENTO DE LAS PLANTAS.;COSTA;GUAYAS                                            ;ELOY ALFARO (DURAN)                               ;GRANDE;MERCADO DE VALORES;105;25890433,17;6098998,93;18862528,07;-813968,41;-425291,35;-388677,06;0;19044841,91;;
926;2022;883;5006;PROMOTORA Y PROYECTOS OMANI C.A.;ANÓNIMA;F;F4100.10;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES, EDIFICIOS MULTIFAMILIARES, INCLUSO EDIFICIOS DE ALTURAS ELEVADAS, VIVIENDAS PARA ANCIANATOS, CASAS PARA BENEFICENCIA, ORFANATOS, CÁRCELES, CUARTELES, CONVENTOS, CASAS RELIGIOSAS. INCLUYE REMODELACIÓN, RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;MICROEMPRESA;SOCIETARIO;3;25865455,19;25425522,68;30000;-82076,79;-82076,79;-68165,72;60;30000;;
927;2022;1086;702519;CARNEGIE RIDGE RESOURCES S.A.;ANÓNIMA;B;B0990.09;"SERVICIOS DE APOYO A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO, REQUERIDAS PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS: PERFORACIONES DE PRUEBA Y SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS DE PROSPECCIÓN TRADICIONALES, COMO RECOGIDA DE MUESTRAS Y REALIZACIÓN DE OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); DRENAJE Y BOMBEO.";SIERRA;PICHINCHA                                         ;QUITO                                             ;MICROEMPRESA;SOCIETARIO;119;25822065,82;-494067,15;11228,64;0;-313765,68;-313765,68;0;11751,58;;
